ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB23040352,"09/30/2023, 11:56:17 PM","10/01/2023, 1:05:47 PM",THUNDER BAY,ON,P7A 4L8,1 Block CUMBERLAND ST N, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB23040379,"10/01/2023, 3:16:22 AM","10/01/2023, 1:05:47 PM",THUNDER BAY,ON,P7E 5P4,2600 Block ARTHUR ST E, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB23040381,"10/01/2023, 3:31:50 AM","10/01/2023, 1:05:47 PM",THUNDER BAY,ON,P7E 1Z4,1100 Block TARBUTT ST S, TBPS] TROUBLE WITH YOUTH YOUTHS STILL IN AREA,Quality of Life,TROUBLE WITH YOUTH
TB23040389,"10/01/2023, 5:21:12 AM","10/01/2023, 1:05:47 PM",THUNDER BAY,ON,P7E 3Y2,1100 Block FREDERICA ST W, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB23040390,"10/01/2023, 5:27:15 AM","10/01/2023, 1:05:47 PM",THUNDER BAY,ON,P7B 2Z8,500 Block FORT WILLIAM RD, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB23040394,"10/01/2023, 6:02:52 AM","10/01/2023, 1:05:47 PM",THUNDER BAY,ON,P7E 5Y8,400 Block GEORGE ST, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB23040329,"09/30/2023, 9:51:48 PM","10/01/2023, 1:05:48 PM",THUNDER BAY,ON,P7A 4L8,1 Block CUMBERLAND ST N, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB23040350,"09/30/2023, 11:40:52 PM","10/01/2023, 1:05:48 PM",THUNDER BAY,ON,P7B 3Z9,900 Block MEMORIAL AV," TBPS] ASSAULT JUST OCCURRED, ACCUSED NOT PRESENT",Assault,ASSAULT
TB23040354,"10/01/2023, 12:06:36 AM","10/01/2023, 1:05:48 PM",THUNDER BAY,ON,P7C 1N7,200 Block CUMMING ST, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB23040398,"10/01/2023, 6:35:55 AM","10/01/2023, 1:05:48 PM",THUNDER BAY,ON,P7B 1R3,200 Block BAY ST, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
