ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24019741,"05/16/2024, 9:23:11 PM","05/17/2024, 1:08:17 PM",THUNDER BAY,ON,P7A 6G7,100 Block STARDUST CR," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24019757,"05/16/2024, 10:56:10 PM","05/17/2024, 1:08:17 PM",THUNDER BAY,ON,P7E 2X8,1300 Block CENTRE AV, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24019697,"05/16/2024, 3:32:52 PM","05/17/2024, 1:08:18 PM",THUNDER BAY,ON,P7E 2A6,300 Block KINGSWAY, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24019708,"05/16/2024, 5:06:17 PM","05/17/2024, 1:08:18 PM",THUNDER BAY,ON,P7B 6S2,700 Block MEMORIAL AV, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24019710,"05/16/2024, 5:20:13 PM","05/17/2024, 1:08:18 PM",THUNDER BAY,ON,P7E 5R2,400 Block ARTHUR ST W, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24019719,"05/16/2024, 6:04:47 PM","05/17/2024, 1:08:18 PM",THUNDER BAY,ON,P7A 4W6,COURT ST N AND MCINTYRE ST, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB24019721,"05/16/2024, 6:21:06 PM","05/17/2024, 1:08:18 PM",THUNDER BAY,ON,P7E 1E1,100 Block SYNDICATE AV S, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24019681,"05/16/2024, 11:24:12 AM","05/17/2024, 1:08:19 PM",THUNDER BAY,ON,P7C 2J3,700 Block DEASE ST, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24019685,"05/16/2024, 12:19:12 PM","05/17/2024, 1:08:19 PM",THUNDER BAY,ON,P7C 3C9,500 Block MCDONALD ST, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24019692,"05/16/2024, 2:58:55 PM","05/17/2024, 1:08:19 PM",THUNDER BAY,ON,P7E 2V9,700 Block JAMES ST S, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24019694,"05/16/2024, 3:14:41 PM","05/17/2024, 1:08:19 PM",THUNDER BAY,ON,P7C 3L6,800 Block SPRING ST, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24019705,"05/16/2024, 4:33:49 PM","05/17/2024, 1:08:19 PM",THUNDER BAY,ON,P7G 1R7,JOHN ST. RD AND MAPLEWARD RD, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24019669,"05/16/2024, 7:57:25 AM","05/17/2024, 1:08:20 PM",THUNDER BAY,ON,P7C 4G1,1100 Block CAMERON ST," TBPS] MISCHIEF IP/SUSP IN AREA, UNDER 5,000",Other Property Crime,MISCHIEF
TB24019595,"05/15/2024, 10:33:18 PM","05/18/2024, 1:07:39 PM",THUNDER BAY,ON,P7A 2K6,200 Block MACDOUGALL ST, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24019609,"05/16/2024, 12:09:14 AM","05/18/2024, 1:07:39 PM",THUNDER BAY,ON,P7E 5V7,1100 Block LINCOLN ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24019917,"05/18/2024, 12:40:08 AM","05/18/2024, 1:07:41 PM",THUNDER BAY,ON,P7B 5L6,300 Block MAIN ST," TBPS] THEFT IN PROGRESS, OVER 50000",Other Theft,THEFT
TB24019931,"05/18/2024, 2:45:13 AM","05/18/2024, 1:07:41 PM",THUNDER BAY,ON,P7B 6S2,700 Block MEMORIAL AV, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24019932,"05/18/2024, 3:03:43 AM","05/18/2024, 1:07:41 PM",THUNDER BAY,ON,P7A 6E8,1 Block CLARKSON ST N," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
