ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24042577,"10/11/2024, 3:48:06 PM","10/12/2024, 1:10:34 PM",THUNDER BAY,ON,P7B 1E7,300 Block PEARL ST, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24042578,"10/11/2024, 3:50:16 PM","10/12/2024, 1:10:35 PM",THUNDER BAY,ON,P7E 6N7,1500 Block JAMES ST S, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042583,"10/11/2024, 4:03:04 PM","10/12/2024, 1:10:35 PM",THUNDER BAY,ON,P7B 7C6,900 Block CARRICK ST, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24042580,"10/11/2024, 3:53:27 PM","10/12/2024, 1:10:35 PM",THUNDER BAY,ON,P7A 4K8,1000 Block DAWSON RD, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24042584,"10/11/2024, 4:06:55 PM","10/12/2024, 1:10:35 PM",THUNDER BAY,ON,.,LINCOLN ST AND VICKERS ST S, TBPS] DRUG OFFENCES SUSP PRESENT OR MAY STILL BE IN AREA,Quality of Life,DRUG OFFENCES
TB24042585,"10/11/2024, 4:13:22 PM","10/12/2024, 1:10:35 PM",THUNDER BAY,ON,P7B 6S2,700 Block MEMORIAL AV, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042586,"10/11/2024, 4:15:07 PM","10/12/2024, 1:10:36 PM",THUNDER BAY,ON,P7B 1L3,200 Block AMBROSE ST," TBPS] THEFT NOT IN PROGRESS, FROM MOTOR VEHICLE",Theft from Vehicle,THEFT
TB24042592,"10/11/2024, 4:30:21 PM","10/12/2024, 1:10:37 PM",THUNDER BAY,ON,P7G 1Z9,1100 Block HILLDALE RD, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24042604,"10/11/2024, 5:32:21 PM","10/12/2024, 1:10:38 PM",THUNDER BAY,ON,P7B 2T5,1 Block CUMBERLAND ST S, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24042612,"10/11/2024, 6:18:46 PM","10/12/2024, 1:10:39 PM",THUNDER BAY,ON,P7E 6N7,1500 Block JAMES ST S, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
